#radius,flux,eflux,peak,rms,model,modelpeak,arcmin,aegean
1.6644598514572138,0.21060083872868063,0.0006410022046235733,0.12128555774688721,0.00014122585707809776,0.21068922898682593,0.12047727,1.6644598615685733,0.21192304490089256
2.0051001464049047,0.31179977445381724,0.0010274781250066956,0.12108320742845535,0.00018462051230017096,0.32208669399699974,0.12047727,2.0051001547984764,0.3261678887898846
2.4021712256025736,0.4409309039488676,0.001520714347942223,0.12124581634998322,0.00022244620777200907,0.4773964669327601,0.12047727,2.402171232608715,0.47271085283965686
2.832035769038409,0.5907439834656429,0.002146432352574792,0.12144629657268524,0.0002742107317317277,0.6767350307443288,0.12047727,2.832035774981113,0.6410905782574448
3.2818328106582415,0.7585659917432963,0.0029481780205103483,0.11982947587966919,0.0003240900405216962,0.9201862732837698,0.12047727,3.2818328157864585,0.8295690538085682
3.7443860106982787,0.9393456216682021,0.003980982711197241,0.11692038178443909,0.0003748214221559465,1.2077977871706769,0.12047727,3.744386015192995,1.0373810939135357
4.215498380632232,1.1240356122294344,0.004969940989545265,0.11202400922775269,0.0004180874675512314,1.5395959280567661,0.12047727,4.215498384624631,1.2647640989611766
4.692592737188363,1.3150067664649612,0.006084610738675555,0.10746665298938751,0.0004619555838871747,1.915595681337012,0.12047727,4.692592740774856,1.5091782721463487
5.174014553237454,1.5048349574841229,0.00760945123439214,0.10283984243869781,0.0005183024914003909,2.335805902890115,0.12047727,5.174014556490238,1.767619906228406
5.65865943462875,1.693085269863758,0.009200333005140084,0.0988461971282959,0.0005769879790022969,2.8002320363264745,0.12047727,5.658659437602944,2.025498915633696
6.145764931813856,1.887794363478804,0.011305774602265483,0.09483769536018372,0.0006471344386227429,3.3088775523434153,0.12047727,6.14576493455232,2.2913291290581603
6.634789114743058,2.071540165533321,0.013675380282748902,0.09164775907993317,0.000729900726582855,3.8617447376783685,0.12047727,6.63478911727968,2.533011258182771
7.125336946216156,2.2557479401000027,0.01642820917599809,0.08802275359630585,0.0008113306830637157,4.4588351436309,0.12047727,7.125336948578142,2.7743530852919576
7.617114059610303,2.4282499483494977,0.019335881573232783,0.08500976860523224,0.0008981351274996996,5.100149850168761,0.12047727,7.617114061819796,3.0115928246817085
8.109896830238531,2.5983161473753924,0.02276771334623745,0.08185312151908875,0.0009882301092147827,5.785689626589595,0.12047727,8.109896832313767,3.240983659430736
8.603512456962735,2.7643122278217636,0.026166740966262318,0.07901192456483841,0.0010768946958705783,6.515455032199743,0.12047727,8.603512458918908,3.455300374029829
9.097825377369746,2.9054794640252846,0.028950480998943484,0.0753895714879036,0.0011207491625100374,7.289446481124705,0.12047727,9.097825379219634,3.642415795875035
9.592727797509578,3.0527332417997943,0.031468033521326856,0.07266425341367722,0.0011507498566061258,8.107664285057535,0.12047727,9.592727799264027,3.813056787585333
10.088132958933134,3.1916956884329704,0.03342177659443779,0.07019665837287903,0.0011681998148560524,8.970108682083383,0.12047727,10.088132960601426,4.004052906894716
