Name,date,telescope,Technology,mean_freq,resolution,S-min,sourceCount,area
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Area of sky from dec zero to dec theta = 20636 sin theta square degees ,,,,,,,,
