,freq,flux,fluxerr
0,76.0,0.5589579939842224,0.022160107633224613
1,84.0,0.5145585536956787,0.01984974603787054
2,91.5,0.4921253025531769,0.017886513845296523
3,99.0,0.44358116388320923,0.017466554810102692
4,107.0,0.39346805214881897,0.012312566345622973
5,114.5,0.37944865226745605,0.011721876548165167
6,122.0,0.3923156261444092,0.012960938886816792
7,130.0,0.3761872947216034,0.011832402398071042
8,143.0,0.345643550157547,0.008739977473850136
9,150.5,0.32336607575416565,0.007919928016960799
10,158.0,0.31338638067245483,0.007378410683158333
11,166.0,0.3188662528991699,0.007085552632921199
12,173.5,0.3098573088645935,0.006347350919087869
13,181.0,0.29807645082473755,0.006147146777487347
14,189.0,0.3051542639732361,0.006170145976779419
15,196.5,0.28946638107299805,0.005953288053496019
16,204.0,0.2911907434463501,0.005975941289233379
17,212.0,0.30022385716438293,0.006175122150607727
18,219.5,0.28452324867248535,0.005892387993117101
19,227.0,0.28893643617630005,0.006097285404502166
