,freq,flux,fluxerr
0,76.0,214.0810191631317,23.241699215884896
1,84.0,244.98897790908813,19.46198856251034
2,91.5,296.0452139377594,19.216209633985034
3,99.0,294.9557900428772,19.113984328461633
4,107.0,337.3373746871948,16.063259424856806
5,114.5,349.6747612953186,15.564227823980584
6,122.0,405.050128698349,16.813818838214207
7,130.0,408.30743312835693,16.310446711464103
8,143.0,426.60725116729736,16.035376287571548
9,150.5,432.81131982803345,16.083770143226968
10,158.0,442.22885370254517,16.358999998183737
11,166.0,441.30632281303406,16.264809058343573
12,173.5,435.4275166988373,15.967686501758623
13,181.0,435.20835041999817,15.949268189741248
14,189.0,443.5770511627197,16.228585844284627
15,196.5,454.08734679222107,16.57366337532712
16,204.0,436.10209226608276,15.921973282023623
17,212.0,440.51364064216614,16.08972567959073
18,219.5,441.60500168800354,16.138438865939733
19,227.0,441.05279445648193,16.124759586521716
20,887.5,160.713,12.714598952861234
21,1400.0,94.5,4.055517846095613
