,freq,flux,fluxerr
0,76.0,69.6261003613472,22.290052387126
1,84.0,43.61465573310852,16.590259434244572
2,91.5,54.77825924754143,15.396206079797782
3,99.0,62.55067139863968,15.270343980406288
4,107.0,91.0463035106659,11.616018717071515
5,114.5,99.2637574672699,10.689614943280079
6,122.0,115.98139256238937,10.49465315285403
7,130.0,109.54599827528,9.56058719735798
8,143.0,152.24595367908478,8.150530778671932
9,150.5,168.6951369047165,7.985038065261222
10,158.0,178.72652411460876,7.874943743103787
11,166.0,220.05712985992432,8.73643503865896
12,173.5,252.7185082435608,9.634377266530713
13,181.0,265.1211619377136,10.040831023940154
14,189.0,285.19272804260254,10.688048202019134
15,196.5,304.9086332321167,11.316155768729029
16,204.0,336.46807074546814,12.424617935623594
17,212.0,345.7879424095154,12.808594609695795
18,219.5,346.32548689842224,12.797961289369853
19,227.0,364.2149865627289,13.474313726476652
20,887.5,241.083,19.002212913239866
21,1400.0,180.8,7.653742613911184
