,freq,flux,fluxerr
0,76.0,0.43596386909484863,0.023058202555545047
1,84.0,0.5500066876411438,0.019107945773752074
2,91.5,0.691407322883606,0.01809451007204221
3,99.0,0.7238631248474121,0.017616175529807526
4,107.0,0.8271694183349609,0.016184856906310163
5,114.5,0.8967631459236145,0.016592515869149817
6,122.0,0.9805800914764404,0.01768396904778738
7,130.0,1.0441160202026367,0.018603567306181294
8,143.0,1.1052472591400146,0.019251227184476583
9,150.5,1.1167278289794922,0.019448338739193737
10,158.0,1.1303330659866333,0.01961060791500355
11,166.0,1.1453347206115723,0.019817235596821924
12,173.5,1.124661922454834,0.019386150435928062
13,181.0,1.108668327331543,0.019121946260636617
14,189.0,1.1006449460983276,0.018970243174088953
15,196.5,1.0880173444747925,0.018747196994202006
16,204.0,1.0681860446929932,0.01839632204283105
17,212.0,1.0489630699157715,0.018103086121982262
18,219.5,1.0480068922042847,0.018128359664187358
19,227.0,1.0328866243362427,0.017876916099634092
