#radius,flux,eflux,peak,rms,model,modelpeak,arcmin,aegean
2.165494444539651,2.3251083274186612,0.0010391325417904575,1.747257113456726,0.00026081636315211654,2.3241958077891987,1.7491498,2.1654945171698357,2.3226700960631868
2.4370814900885223,3.0229641649740984,0.0014795251676538166,1.751394271850586,0.00033174289274029434,3.039296584439649,1.7491498,2.4370815546248386,3.0387416772887397
2.772970643431353,3.980579029859655,0.002031252663252541,1.7577730417251587,0.00039291384746320546,4.03743860680645,1.7491498,2.772970700150404,4.019883571285694
3.152676036216232,5.193762935915416,0.002933422939913931,1.7564905881881714,0.0004990706802345812,5.318516771599519,1.7491498,3.152676086104093,5.267115197409915
3.562213664188617,6.658368839526247,0.0038473511728205675,1.7502158880233765,0.0005852472386322916,6.882762596270076,1.7491498,3.5622137083410115,6.776607474956774
3.992413579444406,8.361367004970646,0.005101875893244701,1.7413803339004517,0.0006785334553569555,8.730422145265521,1.7491498,3.992413618839188,8.542353147615758
4.437270128055322,10.292974020479477,0.0065311635202013295,1.7311080694198608,0.0007927154656499624,10.861681376009582,1.7491498,4.437270163500598,10.561679447270947
4.892787159618952,12.452857113649543,0.0081861587520173,1.7211413383483887,0.0008923368877731264,13.276668258463378,1.7491498,4.892787191764283,12.836197928810856
5.3562455310909804,14.850683812222421,0.009973183264693184,1.7141411304473877,0.0009875482646748424,15.97546873487757,1.7491498,5.356245560454881,15.347648825553842
5.825750268363045,17.46617087306036,0.012501990917666643,1.70371675491333,0.0011572109069675207,18.958140625224797,1.7491498,5.825750295360471,18.08087650399944
6.299949697365218,20.31262147875755,0.01438998190892245,1.6994833946228027,0.001224024104885757,22.224723317876254,1.7491498,6.299949722330537,21.04071937292084
6.7778585253258345,23.36464127369578,0.01662572813451363,1.694440484046936,0.0013098305789753795,25.77524409585271,1.7491498,6.777858548530842,24.224381209856382
7.2587441192903395,26.6254356053095,0.01897967794349498,1.6908766031265259,0.0013916975585743785,29.60972219813027,1.7491498,7.258744140958036,27.63960213258886
7.74205180745596,30.088819579642177,0.021443739600793606,1.689166784286499,0.0014710761606693268,33.7281714339204,1.7491498,7.7420518277710215,31.270342328921163
8.22735475042447,33.75599420051278,0.024432538878760485,1.684812307357788,0.0015742108225822449,38.130601884419185,1.7491498,8.227354769541218,35.107412856399726
8.714319605645187,37.58184224927636,0.028186662399299765,1.6797847747802734,0.0017127363244071603,42.817021027131325,1.7491498,8.714319623693672,39.12336049969149
9.20268255398023,41.60524774093062,0.032449403710747685,1.6727750301361084,0.001864477526396513,47.78743449083765,1.7491498,9.202682571070927,43.33427674887585
9.692232260389352,45.774232474087,0.03745181019768576,1.668734073638916,0.0020411740988492966,53.04184657092912,1.7491498,9.692232276616807,47.70124091056766
10.182797562032356,50.14756586516573,0.03807646409257179,1.6635713577270508,0.0019748376216739416,58.580260586844034,1.7491498,10.18279757747804,52.28110386923805
