#radius,flux,eflux,peak,rms,model,modelpeak,arcmin,aegean
2.1654945091483557,116.26350715244646,0.004365056683314578,87.74071502685547,0.0010956042679026723,116.20979246645821,87.45749,2.165494536772913,116.19128574860505
2.4370815474972685,151.96136190020297,0.003962137618690197,87.7021255493164,0.000888400652911514,151.96483370729263,87.45749,2.4370815720433594,151.9523442690555
2.7729706938861938,201.80992898394834,0.004842517566777637,87.65141296386719,0.0009367090533487499,201.87193805086397,87.45749,2.7729707154590244,201.8436110966371
3.1526760805943383,265.6062174438593,0.005850836091519021,87.61200714111328,0.0009954179404303432,265.92585033046595,87.45749,3.152676099568957,265.79195725142245
3.5622137034646983,343.4148920561836,0.008522495655787169,87.57835388183594,0.0012964158086106181,344.1381464310704,87.45749,3.5622137202578585,343.774363987816
3.9924136144883184,435.3433272119879,0.010290785131426495,87.54295349121094,0.0013686420861631632,436.5211295871494,87.45749,3.992413629471943,435.920955851026
4.437270159585922,541.3544895671475,0.012541969013094192,87.52118682861328,0.0015222725924104452,543.0840976787255,87.45749,4.437270173067371,542.1537129410045
4.892787188214063,661.3844298131118,0.015262916728950979,87.48331451416016,0.0016637425869703293,663.8334492098163,87.45749,4.8927872004403925,662.4741432955121
5.3562455572118495,795.4497499597179,0.01841880464544302,87.50607299804688,0.0018238368211314082,798.7734812969072,87.45749,5.356245568380275,796.8963477225622
5.8257502923788,943.4796437191592,0.020565146133489143,87.44548797607422,0.0019035538425669074,947.9070849412658,87.45749,5.8257503026471475,945.3864045812196
6.299949719573299,1105.4660263513874,0.025836710370327563,87.43560028076172,0.0021976924035698175,1111.2362295632354,87.45749,6.299949729068743,1107.9305677316424
6.777858545968017,1281.381612746741,0.03251865713018292,87.43893432617188,0.0025619282387197018,1288.7622793150838,87.45749,6.777858554793935,1284.510088887966
7.258744138564996,1471.2352446178968,0.03979847997318132,87.35944366455078,0.0029182506259530783,1480.4861961464799,87.45749,7.258744146806205,1475.0907269850734
7.742051825527369,1675.017444085694,0.04076229853522193,87.4315185546875,0.00279636075720191,1686.4086705186153,87.45749,7.74205183325411,1679.665382307254
8.22735476742991,1892.6522124890687,0.047553225129868974,87.420654296875,0.0030638985335826874,1906.5302064917444,87.45749,8.227354774700878,1898.2070841558507
8.714319621700346,2124.0863176511416,0.05000136780768767,87.37384796142578,0.0030382871627807617,2140.8511779414353,87.45749,8.714319628565006,2130.7355549993094
9.202682569183384,2369.0992944295763,0.05484078135622257,87.37574005126953,0.003151040757074952,2389.37186630698,87.45749,9.202682575683752,2377.1230403104264
9.692232274824601,2624.5290414350984,0.07520063458576356,87.38610076904297,0.004098535515367985,2652.0924863581176,87.45749,9.69223228099664,2635.20754149722
10.182797575772174,2887.2957319776865,0.11620013538639738,87.33325958251953,0.006026724353432655,2929.01320406691,87.45749,10.18279758164687,2902.6842661985156
