#radius,flux,eflux,peak,rms,model,modelpeak,arcmin,aegean
1.847451014581922,0.2764904216916193,0.00044876889357655693,0.2023533582687378,0.00010865997319342569,0.3014864211108711,0.19826373,1.847451058505497,0.2751468651018864
2.159415488339327,0.3789302499206286,0.0007162752753243377,0.19840107858181,0.00014305226795841008,0.4294892474654058,0.19826373,2.1594155259173906,0.3760545295154945
2.5324050330229113,0.5130970076715613,0.0010264014503709232,0.1912403553724289,0.00017355081217829138,0.6080680548882833,0.19826373,2.532405065066227,0.5364462221243522
2.9433102539963016,0.6730185872719119,0.00128718089724923,0.18448859453201294,0.00018979304877575487,0.8372832929536439,0.19826373,2.9433102815661623,0.7529238168723636
3.3783243259461897,0.8489990892815555,0.0016459065149516663,0.17959177494049072,0.0002062335843220353,1.1172084366290957,0.19826373,3.378324349965983,0.9996458789526925
3.8292395134386377,1.0349823158841644,0.0020244162006591545,0.175761878490448,0.00022849433298688382,1.4478939585520785,0.19826373,3.829239534629961,1.232113717787252
4.29104593907823,1.2260885383152988,0.0025511794260616133,0.17404279112815857,0.00025401776656508446,1.8293709330556858,0.19826373,4.291045957988924,1.4325685697150734
4.760575096695752,1.4290201173317842,0.003118158772277267,0.1713334619998932,0.0002782547671813518,2.2616582425867287,0.19826373,4.760575113741309,1.647101810154648
5.235749731536045,1.6409711622639236,0.003748446005676869,0.16601847112178802,0.0003023168246727437,2.7447675556613857,0.19826373,5.235749747034619,1.8777594800856805
5.71516187445988,1.854286728294829,0.004431107782380995,0.1595277190208435,0.0003263596445322037,3.2787062741818587,0.19826373,5.7151618886583675,2.0980940431312427
6.197828268940643,2.055830198747872,0.0051177322749097805,0.15300284326076508,0.0003536726289894432,3.8634792273228293,0.19826373,6.1978282820334,2.341860418202254
6.683043861241655,2.260035778029877,0.005991149399481345,0.146782785654068,0.0003826696192845702,4.499089652552006,0.19826373,6.683043873383825,2.5714862484720107
7.170291155265578,2.4530566032397445,0.007056159478094345,0.14089694619178772,0.0004190634354017675,5.185539775737049,0.19826373,7.170291166582643,2.8092136888396877
7.659182414023039,2.649115666251298,0.008142260985197049,0.13458511233329773,0.00045162916649132967,5.922831162891099,0.19826373,7.659182424617727,3.0436571581944936
8.149421774045063,2.830036064626416,0.009377867783349257,0.128119558095932,0.00048797394265420735,6.710964939012049,0.19826373,8.149421784002413,3.279331548079466
8.640779782593686,3.0187766725081517,0.010643955171451622,0.12340044975280762,0.0005218842416070402,7.549941927661987,0.19826373,8.640779791984812,3.513441627849048
9.13307589212308,3.232974728129552,0.011867181003483536,0.11973196268081665,0.0005500343395397067,8.439762742099848,0.19826373,9.133075901007999,3.757339213185265
9.626166176172099,3.440060268482915,0.013143632993821347,0.1145334467291832,0.0005776672624051571,9.38042784608842,0.19826373,9.6261661846019,3.9843663667329574
10.119934547776472,3.6556943358037155,0.01425377431731063,0.10942969471216202,0.0005954526131972671,10.371937595287614,0.19826373,10.119934555794968,4.1720732896445245
