radius,value
0.00025,0.9978823065757751
0.00075,0.9961301684379578
0.00125,0.9928528666496277
0.00175,0.9879347085952759
0.0022500000000000003,0.9806019067764282
0.00275,0.9721245169639587
0.0032500000000000003,0.962836503982544
0.00375,0.951466977596283
0.00425,0.9377742409706116
0.00475,0.9220229387283325
0.00525,0.9064741730690002
0.00575,0.890706479549408
0.00625,0.8716172575950623
0.00675,0.8511698842048645
0.00725,0.8296878933906555
0.00775,0.8089027404785156
0.00825,0.7868313193321228
0.00875,0.7641231417655945
0.00925,0.7399035096168518
0.00975,0.7143343687057495
0.01025,0.6906599402427673
0.010750000000000001,0.6652509570121765
0.01125,0.6400187015533447
0.01175,0.6155107617378235
0.01225,0.5889275074005127
0.012750000000000001,0.5627973675727844
0.01325,0.5370866656303406
0.01375,0.5129261016845703
0.01425,0.48855265974998474
0.014750000000000001,0.4638326168060303
0.01525,0.44076046347618103
0.01575,0.41680046916007996
0.01625,0.39424681663513184
0.01675,0.37125152349472046
0.01725,0.34915491938591003
0.017750000000000002,0.32970482110977173
0.01825,0.30933916568756104
0.01875,0.29092708230018616
0.01925,0.27138540148735046
0.01975,0.253434419631958
0.02025,0.23829789459705353
0.02075,0.22154825925827026
0.02125,0.20706582069396973
0.021750000000000002,0.19196458160877228
0.02225,0.17847879230976105
0.02275,0.1667778193950653
0.02325,0.15465642511844635
0.02375,0.14433299005031586
0.02425,0.13315638899803162
0.02475,0.12416672706604004
0.02525,0.1150137409567833
0.025750000000000002,0.10691779106855392
0.02625,0.09999292343854904
0.02675,0.09248677641153336
0.02725,0.08684828132390976
0.02775,0.08083232492208481
0.02825,0.07596660405397415
0.02875,0.07126807421445847
0.02925,0.06684058159589767
0.029750000000000002,0.06307410448789597
0.03025,0.059485625475645065
0.03075,0.05673357471823692
0.03125,0.05349229648709297
0.03175,0.050983067601919174
0.03225,0.04889046773314476
0.03275,0.046365782618522644
0.03325,0.04509325325489044
0.03375,0.04275297746062279
0.03425,0.04176954925060272
0.03475,0.04022984579205513
0.035250000000000004,0.03850105404853821
0.035750000000000004,0.0379120297729969
0.03625,0.03585675358772278
0.03675,0.03593575954437256
0.03725,0.03404499962925911
0.03775,0.033287402242422104
0.03825,0.032525043934583664
0.03875,0.030460961163043976
0.03925,0.030596977099776268
0.03975,0.028544660657644272
0.04025,0.0286712683737278
0.04075,0.02785852737724781
0.04125,0.02557697892189026
0.04175,0.025683382526040077
0.04225,0.023566851392388344
0.04275,0.023246243596076965
0.043250000000000004,0.022167198359966278
0.043750000000000004,0.020484039559960365
0.04425,0.020364362746477127
0.04475,0.018027227371931076
0.04525,0.017707351595163345
0.04575,0.01622350886464119
0.04625,0.014905446209013462
0.04675,0.014544238336384296
0.04725,0.012013445608317852
0.04775,0.011677025817334652
0.04825,0.009935553185641766
0.04875,0.009169423021376133
0.04925,0.00822987500578165
0.04975,0.006240180693566799
0.05025,0.005670990329235792
0.05075,0.003907364793121815
0.051250000000000004,0.003020216478034854
0.051750000000000004,0.0018777847290039062
0.05225,0.0003954281273763627
0.05275,-0.00011597471893765032
0.05325,-0.0017533384962007403
0.05375,-0.0025856317952275276
0.05425,-0.003861216129735112
0.05475,-0.00481506297364831
0.05525,-0.0055448198691010475
0.05575,-0.0068690176121890545
0.05625,-0.007622234057635069
0.05675,-0.00867533776909113
0.05725,-0.00945845153182745
0.05775,-0.01030605100095272
0.05825,-0.011129815131425858
0.058750000000000004,-0.011842000298202038
0.059250000000000004,-0.012589845806360245
0.059750000000000004,-0.01322692260146141
0.06025,-0.013882934115827084
0.06075,-0.01449152734130621
0.06125,-0.015038254670798779
0.06175,-0.015535064972937107
0.06225,-0.01603003218770027
0.06275,-0.016419628635048866
0.06325,-0.016842234879732132
0.06375,-0.017115088179707527
0.06425,-0.017425820231437683
0.06475,-0.017847809940576553
0.06525,-0.018015122041106224
0.06575,-0.018219703808426857
0.06625,-0.018398230895400047
0.06675,-0.01851055398583412
0.06725,-0.018663179129362106
0.06775,-0.018775349482893944
0.06825,-0.018916700035333633
0.06875,-0.018852602690458298
0.06925,-0.018938682973384857
0.06975,-0.018982432782649994
0.07025,-0.018924178555607796
0.07075000000000001,-0.019028492271900177
0.07125000000000001,-0.018918847665190697
0.07175000000000001,-0.01892530545592308
0.07225,-0.018847208470106125
0.07275,-0.018809722736477852
0.07325,-0.018836351111531258
0.07375,-0.01872195303440094
0.07425,-0.01877717860043049
0.07475,-0.018644915893673897
0.07525,-0.01858285814523697
0.07575,-0.018542742356657982
0.07625,-0.018503231927752495
0.07675,-0.018472768366336823
0.07725,-0.01850268244743347
0.07775,-0.01837807334959507
0.07825,-0.018359621986746788
0.07875,-0.018350759521126747
0.07925,-0.0182710699737072
0.07975,-0.018263403326272964
0.08025,-0.018263081088662148
0.08075,-0.01830352284014225
0.08125,-0.01818302646279335
0.08175,-0.018155412748456
0.08225,-0.018178071826696396
0.08275,-0.018150046467781067
0.08325,-0.01819542422890663
0.08375,-0.018111692741513252
0.08425,-0.01807248778641224
0.08475,-0.01810762658715248
0.08525,-0.018007934093475342
0.08575,-0.018006308004260063
0.08625000000000001,-0.017980962991714478
0.08675000000000001,-0.01794769987463951
0.08725000000000001,-0.017939461395144463
0.08775000000000001,-0.01780480518937111
0.08825,-0.017767323181033134
0.08875,-0.017725612968206406
0.08925,-0.01766464114189148
0.08975,-0.017640864476561546
0.09025,-0.017482437193393707
0.09075,-0.01738480105996132
0.09125,-0.01736624352633953
0.09175,-0.017172418534755707
0.09225,-0.017134644091129303
0.09275,-0.016996780410408974
0.09325,-0.016879448667168617
0.09375,-0.016773445531725883
0.09425,-0.016546566039323807
0.09475,-0.016437502577900887
0.09525,-0.016287770122289658
0.09575,-0.016160931438207626
0.09625,-0.015944503247737885
0.09675,-0.015742722898721695
0.09725,-0.015581579878926277
0.09775,-0.015330546535551548
0.09825,-0.015110875479876995
0.09875,-0.014964316971600056
0.09925,-0.014690376818180084
0.09975,-0.014491965994238853
0.10025,-0.014197935350239277
0.10075,-0.013933426700532436
0.10125,-0.01367827970534563
0.10175000000000001,-0.013495874591171741
0.10225000000000001,-0.013177874498069286
0.10275000000000001,-0.012840263545513153
0.10325000000000001,-0.012581292539834976
0.10375000000000001,-0.012320281937718391
0.10425,-0.012011957354843616
0.10475,-0.011721544899046421
0.10525,-0.011401164345443249
0.10575,-0.011053867638111115
0.10625,-0.010727454908192158
0.10675,-0.010463212616741657
0.10725,-0.01009704265743494
0.10775,-0.009798555634915829
0.10825,-0.009490414522588253
0.10875,-0.009159347042441368
0.10925,-0.008835863322019577
0.10975,-0.008470299653708935
0.11025,-0.008157438598573208
0.11075,-0.0077747562900185585
0.11125,-0.007579922676086426
0.11175,-0.0071077956818044186
0.11225,-0.006928620394319296
0.11275,-0.006461295299232006
0.11325,-0.006194280460476875
0.11375,-0.005952592473477125
0.11425,-0.005570124834775925
0.11475,-0.0053688171319663525
0.11525,-0.004920781124383211
0.11575,-0.004734266549348831
0.11625,-0.004365833476185799
0.11675,-0.004020063206553459
0.11725000000000001,-0.0039762468077242374
0.11775000000000001,-0.0035130055621266365
0.11825000000000001,-0.0033518958371132612
0.11875000000000001,-0.002979123732075095
0.11925000000000001,-0.0027159734163433313
0.11975000000000001,-0.002674974501132965
0.12025,-0.0023053784389048815
0.12075,-0.0022065259981900454
0.12125,-0.0017787230899557471
0.12175,-0.0016303090378642082
0.12225,-0.001513208611868322
0.12275,-0.001210654154419899
0.12325,-0.0012216174509376287
0.12375,-0.0009043652098625898
0.12425,-0.0008881871472112834
0.12475,-0.0007088320562615991
0.12525,-0.0005585217149928212
0.12575,-0.00046991268754936755
0.12625,-9.261639206670225e-05
0.12675,-0.00018596781592350453
0.12725,2.110775312758051e-05
0.12775,-2.3128957764129154e-05
0.12825,4.720609285868704e-05
0.12875,0.00019644811982288957
0.12925,-3.4592707379488274e-05
0.12975,0.00026444875402376056
0.13025,0.00016823760233819485
0.13075,0.000389130407711491
0.13125,0.0005261253099888563
0.13175,0.00029727062792517245
0.13225,0.0007245645392686129
0.13275,0.0004716037365142256
0.13325,0.0006005262839607894
0.13375,0.0008248171070590615
0.13425,0.0005661292816512287
0.13475,0.0009419371490366757
0.13525,0.0006757365772500634
0.13575,0.0006939154700376093
0.13625,0.0008466687868349254
0.13675,0.0006590083939954638
0.13725,0.0009456188417971134
0.13775,0.0004929674905724823
0.13825,0.0006677280180156231
0.13875,0.00057918147649616
0.13925,0.00047756184358149767
0.13975,0.0005756211467087269
0.14025,0.00020260577730368823
0.14075000000000001,0.0002961061545647681
0.14125000000000001,7.865657971706241e-05
0.14175000000000001,1.3324372957868036e-05
0.14225000000000002,-3.1970754207577556e-05
0.14275000000000002,-0.00028970555285923183
0.14325000000000002,-0.00029567390447482467
0.14375000000000002,-0.0006212641601450741
0.14425,-0.0006172962603159249
0.14475,-0.0008376128971576691
0.14525,-0.0009508996736258268
0.14575,-0.001044752891175449
0.14625,-0.0013775387778878212
0.14675,-0.0014110802439972758
0.14725,-0.0016532179433852434
0.14775,-0.001740272855386138
0.14825,-0.0019605897832661867
0.14875,-0.002140194410458207
0.14925,-0.00212614587508142
0.14975,-0.0025314060039818287
0.15025,-0.00248520914465189
0.15075,-0.002777129178866744
0.15125,-0.0028593051247298717
0.15175,-0.0028484209906309843
0.15225,-0.003262708429247141
0.15275,-0.003110990161076188
0.15325,-0.0034567948896437883
0.15375,-0.0034056412987411022
0.15425,-0.0033259971532970667
0.15475,-0.003799517173320055
0.15525,-0.003561240853741765
0.15575,-0.003853440284729004
0.15625,-0.0036883351858705282
0.15675,-0.003818758763372898
0.15725,-0.0038588272873312235
0.15775,-0.0036538434214890003
0.15825,-0.004043274559080601
0.15875,-0.00363635690882802
0.15925,-0.003930215258151293
0.15975,-0.0036513814702630043
0.16025,-0.0035263425670564175
0.16075,-0.0038469776045531034
0.16125,-0.0034414599649608135
0.16175,-0.003606433281674981
0.16225,-0.0033267687540501356
0.16275,-0.003404463641345501
0.16325,-0.0032534063793718815
0.16375,-0.003133791731670499
0.16425,-0.003163693705573678
0.16475,-0.002956354059278965
0.16525,-0.002926070708781481
0.16575,-0.0028275384102016687
0.16625,-0.0026383388321846724
