radius,value
0.00025,0.9952012300491333
0.00075,0.99158775806427
0.00125,0.98483806848526
0.00175,0.9747316241264343
0.0022500000000000003,0.959712028503418
0.00275,0.9424299001693726
0.0032500000000000003,0.9235923290252686
0.00375,0.9006543159484863
0.00425,0.8732554316520691
0.00475,0.8419784307479858
0.00525,0.811477541923523
0.00575,0.780838668346405
0.00625,0.7440603375434875
0.00675,0.7053338289260864
0.00725,0.6650707125663757
0.00775,0.6270627379417419
0.00825,0.5870510935783386
0.00875,0.54669189453125
0.00925,0.5047473311424255
0.00975,0.4608563482761383
0.01025,0.42216238379478455
0.010750000000000001,0.380606085062027
0.01125,0.34110426902770996
0.01175,0.30389198660850525
0.01225,0.2640381455421448
0.012750000000000001,0.22767727077007294
0.01325,0.1918126493692398
0.01375,0.16066192090511322
0.01425,0.12974730134010315
0.014750000000000001,0.09994760900735855
0.01525,0.07519815862178802
0.01575,0.048550013452768326
0.01625,0.027607588097453117
0.01675,0.004920589737594128
0.01725,-0.01371025200933218
0.017750000000000002,-0.02620752342045307
0.01825,-0.04260408133268356
0.01875,-0.05222756043076515
0.01925,-0.06444470584392548
0.01975,-0.07150300592184067
0.02025,-0.07353055477142334
0.02075,-0.08175908774137497
0.02125,-0.08226122707128525
0.021750000000000002,-0.08479520678520203
0.02225,-0.08352535218000412
0.02275,-0.08047300577163696
0.02325,-0.07982248067855835
0.02375,-0.07472751289606094
0.02425,-0.0722707062959671
0.02475,-0.06544964015483856
0.02525,-0.05985419824719429
0.025750000000000002,-0.05385550111532211
0.02625,-0.047277092933654785
0.02675,-0.04237661510705948
0.02725,-0.035317305475473404
0.02775,-0.0291142538189888
0.02825,-0.02259279601275921
0.02875,-0.016651228070259094
0.02925,-0.01127371471375227
0.029750000000000002,-0.0059621878899633884
0.03025,-0.0010204241843894124
0.03075,0.0034833899699151516
0.03125,0.007364155258983374
0.03175,0.010838281363248825
0.03225,0.013896294869482517
0.03275,0.016338426619768143
0.03325,0.01814936101436615
0.03375,0.019964372739195824
0.03425,0.020875243470072746
0.03475,0.021467402577400208
0.035250000000000004,0.021904949098825455
0.035750000000000004,0.02150290086865425
0.03625,0.021616056561470032
0.03675,0.0202703308314085
0.03725,0.019685864448547363
0.03775,0.018389860168099403
0.03825,0.01709405891597271
0.03875,0.016065629199147224
0.03925,0.014006084762513638
0.03975,0.012884935364127159
0.04025,0.01093367114663124
0.04075,0.00926903821527958
0.04125,0.008071903139352798
0.04175,0.006310261320322752
0.04225,0.005004772916436195
0.04275,0.0035892953164875507
0.043250000000000004,0.002402131212875247
0.043750000000000004,0.001328274141997099
0.04425,0.00038253734237514436
0.04475,-0.0006517161964438856
0.04525,-0.0012491163797676563
0.04575,-0.001759622828103602
0.04625,-0.0023536821827292442
0.04675,-0.002706072060391307
0.04725,-0.003238137811422348
0.04775,-0.003061882220208645
0.04825,-0.003369970479980111
0.04875,-0.003403844079002738
0.04925,-0.0030749719589948654
0.04975,-0.003423103364184499
0.05025,-0.00278193480335176
0.05075,-0.003203266765922308
0.051250000000000004,-0.0027633702848106623
0.051750000000000004,-0.0025661413092166185
0.05225,-0.0024728153366595507
0.05275,-0.0021490990184247494
0.05325,-0.002291033510118723
0.05375,-0.001929213060066104
0.05425,-0.0018245895626023412
0.05475,-0.00173198152333498
0.05525,-0.0017223492031916976
0.05575,-0.0017662636237218976
0.05625,-0.0016118023777380586
0.05675,-0.0016524241073057055
0.05725,-0.0017035026103258133
0.05775,-0.0016904774820432067
0.05825,-0.001877202303148806
0.058750000000000004,-0.0018477849662303925
0.059250000000000004,-0.002011683536693454
0.059750000000000004,-0.0019183865515515208
0.06025,-0.0021330546587705612
0.06075,-0.002281303284689784
0.06125,-0.0021494284737855196
0.06175,-0.0024273216258734465
0.06225,-0.0022294537629932165
0.06275,-0.002419800264760852
0.06325,-0.0023502609692513943
0.06375,-0.00197826256044209
0.06425,-0.002301387023180723
0.06475,-0.0020768658723682165
0.06525,-0.0023126311134546995
0.06575,-0.0017637984128668904
0.06625,-0.0016623357078060508
0.06675,-0.0016186052234843373
0.06725,-0.0013433098793029785
0.06775,-0.00138254021294415
0.06825,-0.0010472855065017939
0.06875,-0.0009262756211683154
0.06925,-0.0006297912332229316
0.06975,-0.0003428284835536033
0.07025,-0.00044825495569966733
0.07075000000000001,-0.00010993269825121388
0.07125000000000001,-7.271628419402987e-05
0.07175000000000001,0.00020254073024261743
0.07225,0.0002667713852133602
0.07275,0.00036455568624660373
0.07325,0.0006062689935788512
0.07375,0.00039481883868575096
0.07425,0.0005481627304106951
0.07475,0.0004924893728457391
0.07525,0.0005244978237897158
0.07575,0.0006072898395359516
0.07625,0.00027795019559562206
0.07675,0.00034981113276444376
0.07725,0.00020401037181727588
0.07775,0.00017568714974913746
0.07825,-4.7877187171252444e-05
0.07875,-0.00020556066010612994
0.07925,-0.0002925136359408498
0.07975,-0.00048038383829407394
0.08025,-0.0006334261270239949
0.08075,-0.0008970702183432877
0.08125,-0.0009489492513239384
0.08175,-0.001072166720405221
0.08225,-0.0012498360592871904
0.08275,-0.001460893196053803
0.08325,-0.001595862559042871
0.08375,-0.001671460340730846
0.08425,-0.0017318741884082556
0.08475,-0.00190861860755831
0.08525,-0.0018937198910862207
0.08575,-0.0019665714353322983
0.08625000000000001,-0.0020525376312434673
0.08675000000000001,-0.0020467527210712433
0.08725000000000001,-0.0020968790631741285
0.08775000000000001,-0.0020378720946609974
0.08825,-0.0020399861969053745
0.08875,-0.0020243546459823847
0.08925,-0.0019535727333277464
0.08975,-0.00197840784676373
