radius,value
0.00025,0.9932209253311157
0.00075,0.9883400201797485
0.00125,0.9792317152023315
0.00175,0.9656177759170532
0.0022500000000000003,0.9454323649406433
0.00275,0.9222936630249023
0.0032500000000000003,0.8971728086471558
0.00375,0.8666952252388
0.00425,0.8305329084396362
0.00475,0.7894738912582397
0.00525,0.7498568892478943
0.00575,0.7103427052497864
0.00625,0.6631534099578857
0.00675,0.6142224073410034
0.00725,0.5636608004570007
0.00775,0.5170814990997314
0.00825,0.46818506717681885
0.00875,0.4197034537792206
0.00925,0.37054213881492615
0.00975,0.3191151022911072
0.01025,0.27627983689308167
0.010750000000000001,0.22953884303569794
0.01125,0.18723219633102417
0.01175,0.14852069318294525
0.01225,0.10704215615987778
0.012750000000000001,0.07280535995960236
0.01325,0.03795815631747246
0.01375,0.01092515792697668
0.01425,-0.015990762040019035
0.014750000000000001,-0.040372636169195175
0.01525,-0.05651070177555084
0.01575,-0.0767027884721756
0.01625,-0.08677810430526733
0.01675,-0.10140835493803024
0.01725,-0.1091964989900589
0.017750000000000002,-0.1082337349653244
0.01825,-0.11586548388004303
0.01875,-0.11236260831356049
0.01925,-0.11424394696950912
0.01975,-0.10826331377029419
0.02025,-0.09657195210456848
0.02075,-0.09646224975585938
0.02125,-0.08490875363349915
0.021750000000000002,-0.07747893780469894
0.02225,-0.0657987967133522
0.02275,-0.053364139050245285
0.02325,-0.04562228173017502
0.02375,-0.03314553201198578
0.02425,-0.024460678920149803
0.02475,-0.012416728772222996
0.02525,-0.0025379813741892576
0.025750000000000002,0.006231006234884262
0.02625,0.01452887337654829
0.02675,0.021285228431224823
0.02725,0.027604902163147926
0.02775,0.03275424614548683
0.02825,0.03705906122922897
0.02875,0.040131717920303345
0.02925,0.042640797793865204
0.029750000000000002,0.04330514371395111
0.03025,0.04388346150517464
0.03075,0.0422465056180954
0.03125,0.04160809889435768
0.03175,0.03920220956206322
0.03225,0.035534340888261795
0.03275,0.0336579792201519
0.03325,0.028467722237110138
0.03375,0.02570778876543045
0.03425,0.01991599053144455
0.03475,0.015728142112493515
0.035250000000000004,0.012565234676003456
0.035750000000000004,0.006855985149741173
0.03625,0.0041245268657803535
0.03675,-0.002014207188040018
0.03725,-0.0042287432588636875
0.03775,-0.007565868087112904
0.03825,-0.011210184544324875
0.03875,-0.012224527075886726
0.03925,-0.015099901705980301
0.03975,-0.015851905569434166
0.04025,-0.017709799110889435
0.04075,-0.018060611560940742
0.04125,-0.01743142679333687
0.04175,-0.01743738353252411
0.04225,-0.017175326123833656
0.04275,-0.015550589188933372
0.043250000000000004,-0.014256537891924381
0.043750000000000004,-0.012873264960944653
0.04425,-0.010477805510163307
0.04475,-0.009808888658881187
0.04525,-0.006745724938809872
0.04575,-0.004712590016424656
0.04625,-0.003092111786827445
0.04675,-0.0005200810264796019
0.04725,-7.5225707405479625e-06
0.04775,0.0029056514613330364
0.04825,0.0036591060925275087
0.04875,0.005442441441118717
0.04925,0.007019949611276388
0.04975,0.00694605428725481
0.05025,0.008402422070503235
0.05075,0.007855508476495743
0.051250000000000004,0.008562629111111164
0.051750000000000004,0.008237714879214764
